Episode,ta41,ta42,ta43,ta44,ta45,ta46,ta47,ta48,ta49,ta50,sum
91,2336,2346,2286,2374,2247,2406,2180,2310,2259,2172,22916
92,2336,2346,2286,2374,2247,2406,2180,2310,2259,2172,22916
93,2336,2346,2286,2374,2247,2406,2180,2310,2259,2172,22916
94,2336,2346,2286,2374,2247,2406,2180,2310,2259,2172,22916
95,2336,2346,2286,2374,2247,2406,2180,2310,2259,2172,22916
96,2336,2346,2286,2374,2247,2406,2180,2310,2259,2172,22916
97,2336,2346,2286,2374,2244,2406,2180,2310,2259,2172,22913
98,2336,2346,2286,2374,2244,2406,2180,2310,2259,2172,22913
99,2336,2346,2286,2374,2244,2406,2180,2310,2259,2172,22913
100,2336,2346,2286,2374,2244,2406,2180,2310,2259,2172,22913
101,2336,2346,2286,2374,2244,2406,2180,2310,2259,2172,22913
102,2336,2346,2286,2374,2244,2406,2180,2310,2259,2172,22913
103,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
104,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
105,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
106,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
107,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
108,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
109,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
110,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
111,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
112,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
113,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
114,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
115,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
116,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
117,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
118,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
119,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
120,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
121,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
122,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
123,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
124,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
125,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
126,2336,2346,2286,2374,2237,2406,2180,2310,2259,2172,22906
127,2336,2346,2286,2374,2237,2394,2180,2310,2259,2172,22894
128,2336,2346,2286,2374,2237,2394,2180,2310,2259,2172,22894
129,2336,2346,2286,2374,2237,2394,2180,2310,2259,2172,22894
130,2336,2346,2286,2374,2237,2394,2180,2310,2259,2172,22894
131,2336,2346,2286,2374,2237,2394,2180,2310,2259,2172,22894
132,2336,2346,2286,2374,2237,2394,2180,2310,2259,2172,22894
133,2336,2346,2286,2374,2237,2394,2180,2310,2259,2172,22894
134,2336,2346,2286,2374,2237,2394,2180,2310,2259,2172,22894
135,2336,2346,2286,2374,2237,2394,2180,2310,2259,2172,22894
136,2336,2346,2286,2374,2237,2394,2180,2310,2259,2172,22894
137,2336,2346,2285,2374,2237,2394,2180,2310,2259,2172,22893
138,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
139,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
140,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
141,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
142,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
143,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
144,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
145,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
146,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
147,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
148,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
149,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
150,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
151,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
152,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
153,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
154,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
155,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
156,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
157,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
158,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
159,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
160,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
161,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
162,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
163,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
164,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
165,2336,2346,2271,2374,2237,2394,2180,2310,2259,2172,22879
166,2336,2346,2271,2371,2237,2394,2180,2310,2259,2172,22876
167,2336,2346,2271,2371,2237,2394,2180,2310,2259,2172,22876
168,2336,2346,2271,2371,2237,2394,2180,2310,2259,2172,22876
169,2336,2346,2271,2371,2237,2394,2180,2310,2259,2172,22876
170,2336,2346,2271,2371,2237,2394,2180,2310,2259,2172,22876
171,2336,2346,2271,2371,2237,2394,2180,2310,2259,2172,22876
172,2336,2346,2271,2371,2237,2394,2180,2310,2259,2172,22876
173,2336,2346,2271,2371,2237,2394,2180,2310,2259,2172,22876
174,2336,2346,2267,2371,2237,2394,2180,2310,2259,2172,22872
175,2336,2346,2258,2371,2237,2394,2180,2310,2259,2172,22863
176,2336,2346,2258,2371,2235,2394,2180,2310,2259,2172,22861
177,2336,2346,2258,2371,2235,2394,2180,2310,2259,2172,22861
178,2336,2346,2258,2371,2235,2394,2180,2310,2259,2172,22861
179,2336,2346,2258,2371,2235,2394,2180,2310,2259,2172,22861
180,2336,2346,2258,2371,2235,2394,2180,2310,2259,2172,22861
181,2336,2346,2258,2371,2235,2394,2180,2310,2259,2172,22861
182,2336,2346,2258,2371,2235,2394,2180,2310,2259,2172,22861
183,2336,2346,2258,2371,2235,2394,2180,2310,2259,2172,22861
184,2336,2346,2258,2371,2235,2394,2180,2310,2259,2172,22861
185,2336,2346,2258,2371,2235,2394,2180,2310,2259,2172,22861
186,2336,2346,2258,2371,2235,2394,2180,2310,2259,2172,22861
187,2336,2346,2258,2371,2235,2394,2180,2310,2259,2172,22861
188,2336,2346,2258,2371,2235,2394,2180,2310,2259,2172,22861
189,2336,2343,2258,2371,2235,2394,2180,2310,2259,2172,22858
190,2336,2343,2258,2371,2235,2394,2180,2310,2259,2172,22858
191,2336,2343,2258,2371,2235,2394,2180,2310,2259,2172,22858
192,2336,2343,2258,2371,2235,2394,2180,2310,2259,2172,22858
193,2336,2343,2258,2371,2235,2394,2180,2310,2259,2172,22858
194,2336,2343,2258,2371,2235,2394,2180,2310,2259,2172,22858
195,2336,2343,2258,2371,2235,2394,2180,2310,2259,2172,22858
196,2336,2343,2258,2371,2235,2394,2180,2310,2259,2172,22858
197,2336,2343,2258,2371,2235,2394,2180,2310,2259,2172,22858
198,2336,2343,2258,2371,2235,2394,2180,2310,2259,2172,22858
199,2336,2343,2258,2371,2235,2394,2180,2310,2259,2172,22858
200,2336,2343,2258,2371,2235,2394,2180,2310,2259,2172,22858
