Episode,ta41,ta42,ta43,ta44,ta45,,sum
187,2254,2189,2119,,,,6562
188,2254,2189,2119,,,,6562
189,2254,2189,2119,,,,6562
190,2254,2189,2119,,,,6562
191,2254,2189,2119,,,,6562
192,2254,2189,2119,,,,6562
193,2254,2189,2119,,,,6562
194,2254,2189,2119,,,,6562
195,2254,2189,2119,,,,6562
196,2254,2189,2119,,,,6562
197,2254,2189,2119,,,,6562
198,2254,2189,2119,,,,6562
199,2254,2189,2119,,,,6562
200,2254,2189,2119,,,,6562
201,2254,2189,2119,,,,6562
202,2254,2189,2119,,,,6562
203,2254,2189,2119,,,,6562
204,2254,2189,2119,,,,6562
205,2254,2189,2119,,,,6562
206,2254,2189,2119,,,,6562
207,2254,2189,2119,,,,6562
208,2254,2189,2119,,,,6562
209,2254,2189,2119,,,,6562
210,2254,2189,2119,,,,6562
211,2254,2189,2119,,,,6562
212,2254,2189,2119,,,,6562
213,2254,2189,2119,,,,6562
214,2254,2189,2119,,,,6562
215,2254,2189,2119,,,,6562
216,2254,2189,2119,,,,6562
217,2254,2189,2119,,,,6562
218,2254,2189,2119,,,,6562
219,2254,2189,2119,,,,6562
220,2254,2189,2119,,,,6562
221,2254,2189,2119,,,,6562
222,2254,2189,2119,,,,6562
223,2254,2189,2119,,,,6562
224,2254,2189,2119,,,,6562
225,2254,2189,2119,,,,6562
226,2254,2189,2119,,,,6562
227,2254,2189,2119,,,,6562
228,2254,2189,2119,,,,6562
229,2254,2189,2119,,,,6562
230,2254,2170,2119,,,,6543
231,2254,2170,2119,,,,6543
232,2254,2170,2119,,,,6543
233,2254,2170,2119,,,,6543
234,2254,2170,2119,,,,6543
235,2254,2170,2119,,,,6543
236,2254,2170,2119,,,,6543
237,2254,2170,2119,,,,6543
238,2254,2170,2119,,,,6543
239,2254,2170,2119,,,,6543
240,2254,2170,2119,,,,6543
241,2254,2170,2119,,,,6543
242,2254,2170,2119,,,,6543
243,2254,2170,2119,,,,6543
244,2254,2170,2119,,,,6543
245,2254,2170,2119,,,,6543
246,2254,2170,2119,,,,6543
247,2254,2170,2119,,,,6543
248,2254,2170,2119,,,,6543
249,2254,2170,2119,,,,6543
250,2254,2170,2119,,,,6543
251,2254,2170,2119,,,,6543
252,2254,2170,2119,,,,6543
253,2254,2170,2119,,,,6543
254,2254,2170,2119,,,,6543
255,2254,2170,2119,,,,6543
256,2254,2170,2119,,,,6543
257,2254,2170,2119,,,,6543
258,2254,2170,2119,,,,6543
259,2254,2170,2119,,,,6543
260,2254,2170,2119,,,,6543
261,2254,2170,2119,,,,6543
262,2254,2170,2119,,,,6543
263,2254,2170,2119,,,,6543
264,2254,2170,2119,,,,6543
265,2254,2170,2119,,,,6543
266,2254,2170,2119,,,,6543
267,2254,2170,2119,,,,6543
268,2254,2170,2119,,,,6543
269,2254,2170,2119,,,,6543
270,2254,2170,2119,,,,6543
271,2254,2170,2119,,,,6543
272,2254,2170,2119,,,,6543
273,2254,2170,2119,,,,6543
274,2254,2170,2119,,,,6543
